trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2011-01-31,600860.SH,11.763,11.763,11.647,11.697,1511989.0,-0.424,11.696,1.661,0.47,6.851,1,交易,1.707341993869508,25.027659574468085,129817.89301966171,0.9943041741052453,0.9901385700926635,0.9999145079935027
2011-02-01,600860.SH,11.431,11.813,11.298,11.747,1371868.0,0.426,11.593,1.661,0.426,6.216,1,交易,1.8898005148005148,26.833333333333332,121425.73906886175,0.9813764496740878,0.9564039617370693,0.9868902698561335
2011-02-09,600860.SH,11.68,11.68,11.498,11.514,1403690.0,-1.98,11.596,1.661,0.436,6.36,1,交易,1.8103773584905658,26.788990825688074,122081.23151852496,0.9928082191780823,0.984417808219178,1.00712176480806
2011-02-10,600860.SH,11.68,11.996,11.531,11.913,2060525.9999999998,3.463,11.762,1.661,0.64,9.336,1,交易,1.2760282776349614,18.25,178694.4757609921,0.9804934978326109,0.9612370790263421,0.9873247712582893
2011-02-11,600860.SH,11.896,11.93,11.747,11.896,1831752.0,-0.139,11.818,1.661,0.569,8.299,1,交易,1.4334257139414388,20.90685413005273,155933.6000681025,0.9906119027661358,0.9846605196982398,0.9934431741761935
2011-02-14,600860.SH,11.896,12.029,11.83,11.996,2698220.0,0.838,11.949,1.661,0.838,12.225,1,交易,0.9812678936605318,14.195704057279238,228082.8402366864,0.9933494056031258,0.9834566464377754,0.9960820273424474
2011-02-15,600860.SH,12.029,12.362,11.93,12.112,3346294.0,0.97,12.133,1.661,1.039,15.162,1,交易,0.7988392032713362,11.57747834456208,280494.0486169321,0.9814754894030091,0.9650541983497816,1.001733817701453
2011-02-16,600860.SH,11.979,12.661,11.979,12.627,3790867.0,4.252,12.427,1.661,1.177,17.176,1,交易,0.7351537028411739,10.177570093457943,316459.38726104016,0.9815180475475871,0.946133796698523,0.9841609250019798
2011-02-17,600860.SH,12.611,12.71,12.411,12.461,2677130.0,-1.316,12.512,1.661,0.831,12.13,1,交易,1.0272877164056058,15.17569193742479,215706.22834582225,0.9844217151848937,0.9764752163650667,1.004092769440655
2011-02-18,600860.SH,12.494,12.511,12.129,12.229,1922000.9999999998,-1.867,12.279,1.661,0.597,8.708,1,交易,1.4043408360128615,20.927973199329983,158463.26984912192,0.9814563184397731,0.9694668691551435,1.0040886417532096
2011-02-21,600860.SH,12.146,12.528,12.146,12.478,2315364.0,2.038,12.419,1.661,0.719,10.491,1,交易,1.1894004384710704,16.892906815020865,190627.69636094186,0.9912994891443168,0.9695083014048531,0.9952716781535503
2011-02-22,600860.SH,12.594,12.794,12.312,12.511,4366974.0,0.266,12.598,1.661,1.356,19.786,1,交易,0.6323157788335185,9.287610619469026,354692.4951267057,0.9846803188994842,0.9623260903548537,1.0069538805850853
2011-02-23,600860.SH,12.445,12.661,12.345,12.611,1909987.0,0.797,12.517,1.661,0.593,8.654,1,交易,1.4572452045296973,20.986509274873526,154717.45646010528,0.9886264907985152,0.9750414659189638,0.9925461898342716
2011-02-24,600860.SH,12.627,12.893,12.561,12.594,2857119.0,-0.132,12.674,1.661,0.887,12.945,1,交易,0.972885283893395,14.235625704622324,227459.51755433486,0.9830140386256107,0.9742495928022957,1.0063522312212165
2011-02-25,600860.SH,12.594,12.661,12.378,12.511,1611085.0,-0.66,12.502,1.661,0.5,7.3,1,交易,1.7138356164383561,25.188,130157.13362417191,0.9874417502566939,0.9776478951109707,0.9992806330429224
2011-02-28,600860.SH,12.544,12.677,12.362,12.627,2999191.0,0.93,12.478,1.661,0.931,13.589,1,交易,0.9292074471999412,13.473684210526315,242613.73564148197,0.9843022797191765,0.9751518498067366,0.9881998891264749
2011-03-01,600860.SH,12.627,12.744,12.445,12.71,3409001.0,0.658,12.591,1.661,1.059,15.446,1,交易,0.8228667616211317,11.923512747875355,273925.35154680593,0.9879943502824858,0.9765379786566227,0.9906372934697087
2011-03-02,600860.SH,12.627,12.943,12.544,12.843,3796681.0,1.046,12.793,1.661,1.179,17.202,1,交易,0.7465992326473665,10.709923664122137,302669.0848214286,0.9884107239434443,0.969172525689562,0.9961068286225959
2011-03-03,600860.SH,12.86,12.96,12.644,12.677,2386519.0,-1.294,12.815,1.661,0.741,10.813,1,交易,1.172385092018866,17.35492577597841,188747.15279974692,0.9888117283950616,0.9756172839506172,1.010885856275144
2011-03-04,600860.SH,12.744,13.225,12.744,13.093,3936910.0,3.277,13.052,1.661,1.223,17.838,1,交易,0.733994842471129,10.420278004905969,308922.630257376,0.9869187145557656,0.9636294896030246,0.9968685557167952
2011-03-07,600860.SH,13.093,13.375,12.843,13.059,4110611.0,-0.254,13.05,1.661,1.277,18.625,1,交易,0.7011543624161073,10.25293657008614,320066.2617768434,0.9757009345794393,0.9602242990654205,0.9993108201240525
2011-03-08,600860.SH,12.976,13.192,12.976,13.059,1918164.0,0.0,13.068,1.661,0.596,8.691,1,交易,1.5025888850535034,21.771812080536915,147823.98273736128,0.9906003638568829,0.9836264402668284,1.0006891798759476
2011-03-09,600860.SH,13.126,13.126,12.744,12.827,2260098.0,-1.781,12.874,1.661,0.702,10.24,1,交易,1.25263671875,18.698005698005698,177346.0451977401,0.9808014627456957,0.9708974554319671,1.0036641459421534
2011-03-10,600860.SH,12.744,13.009,12.744,12.86,1953287.0,0.259,12.896,1.661,0.607,8.85,1,交易,1.4531073446327682,20.99505766062603,153271.10797237916,0.9913137058959183,0.9796294872780382,1.0027993779160187
2011-03-11,600860.SH,12.827,13.076,12.794,12.91,2417330.0,0.388,12.933,1.661,0.751,10.953,1,交易,1.1786725098146627,17.079893475366177,188942.4730342348,0.9890639339247476,0.9784337717956562,1.0017815646785437
2011-03-14,600860.SH,12.893,13.342,12.877,13.192,3061682.0,2.188,13.14,1.661,0.951,13.872,1,交易,0.9509803921568628,13.557308096740275,237763.6095363827,0.9848598411032828,0.9651476540248838,0.9960582171012735
2011-03-15,600860.SH,13.192,13.541,12.96,13.491,5620521.0,2.267,13.317,1.661,1.746,25.466,1,交易,0.5297651770988769,7.555555555555555,433682.1759259259,0.9834576471457056,0.9570932722841741,0.987102512786302
2011-03-16,600860.SH,13.491,14.173,13.491,14.173,6596489.0,5.049,14.014,1.661,2.049,29.888,1,交易,0.47420369379014987,6.584187408491947,488954.7846712623,0.9887814859239399,0.9518803358498553,0.9887814859239399
2011-03-17,600860.SH,14.173,14.571,13.79,14.156,6069111.0,-0.117,14.132,1.661,1.885,27.498,1,交易,0.5148010764419231,7.518832891246684,440109.5721537346,0.9698716628920458,0.9464003843250292,0.9983046058208532
2011-03-18,600860.SH,14.089,14.156,13.441,13.458,6967289.0,-4.93,13.616,1.661,2.164,31.568,1,交易,0.42631779016725796,6.510628465804066,518360.9106465292,0.9618536309692003,0.949491381746256,1.0117402288601576
2011-03-21,600860.SH,13.325,13.724,13.076,13.558,4807955.0,0.741,13.394,1.661,1.493,21.784,1,交易,0.6223834006610356,8.92498325519089,367693.10186601407,0.9759545322063539,0.9527834450597493,0.9879038206225107
