trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2016-08-02,300526.SZ,13.86,15.12,13.86,15.12,6100.0,44.0,15.017,1.0,0.029,0.029,0,交易,521.3793103448276,477.9310344827586,440.11544011544015,0.9931878306878307,0.9166666666666666,0.9931878306878307
2016-08-03,300526.SZ,16.63,16.63,16.63,16.63,2100.0,9.987,16.63,1.0,0.01,0.01,0,交易,1662.9999999999998,1662.9999999999998,126.27781118460614,1.0,1.0,1.0
2016-08-04,300526.SZ,18.29,18.29,18.29,18.29,2500.0,9.982,18.29,1.0,0.012,0.012,0,交易,1524.1666666666665,1524.1666666666665,136.6867140513942,1.0,1.0,1.0
2016-08-05,300526.SZ,20.12,20.12,20.12,20.12,1100.0,10.005,20.12,1.0,0.005,0.005,0,交易,4024.0,4024.0,54.67196819085487,1.0,1.0,1.0
2016-08-08,300526.SZ,22.13,22.13,22.13,22.13,7523.0,9.99,22.13,1.0,0.035,0.035,0,交易,632.2857142857142,632.2857142857142,339.94577496610935,1.0,1.0,1.0
2016-08-09,300526.SZ,24.34,24.34,24.34,24.34,2984.0,9.986,24.34,1.0,0.014,0.014,0,交易,1738.5714285714284,1738.5714285714284,122.59654889071487,1.0,1.0,1.0
2016-08-10,300526.SZ,26.77,26.77,26.77,26.77,4200.0,9.984,26.77,1.0,0.02,0.02,0,交易,1338.5,1338.5,156.89204333208815,1.0,1.0,1.0
2016-08-11,300526.SZ,29.45,29.45,29.45,29.45,4300.0,10.011,29.45,1.0,0.02,0.02,0,交易,1472.5,1472.5,146.01018675721562,1.0,1.0,1.0
2016-08-12,300526.SZ,32.4,32.4,32.4,32.4,11500.0,10.017,32.4,1.0,0.054,0.054,0,交易,600.0,600.0,354.9382716049383,1.0,1.0,1.0
2016-08-15,300526.SZ,35.64,35.64,35.64,35.64,7696.0,10.0,35.64,1.0,0.036,0.036,0,交易,990.0000000000001,990.0000000000001,215.9371492704826,1.0,1.0,1.0
2016-08-16,300526.SZ,39.2,39.2,39.2,39.2,9596.0,9.989,39.2,1.0,0.045,0.045,0,交易,871.1111111111112,871.1111111111112,244.79591836734693,1.0,1.0,1.0
2016-08-17,300526.SZ,43.12,43.12,43.12,43.12,20987.0,10.0,43.12,1.0,0.099,0.099,0,交易,435.5555555555555,435.5555555555555,486.7115027829314,1.0,1.0,1.0
2016-08-18,300526.SZ,47.43,47.43,47.43,47.43,10146.0,9.995,47.43,1.0,0.048,0.048,0,交易,988.125,988.125,213.91524351676154,1.0,1.0,1.0
2016-08-19,300526.SZ,52.17,52.17,52.17,52.17,33793.0,9.994,52.17,1.0,0.159,0.159,0,交易,328.1132075471698,328.1132075471698,647.7477477477478,1.0,1.0,1.0
2016-08-22,300526.SZ,57.39,57.39,57.39,57.39,28577.0,10.006,57.39,1.0,0.134,0.134,0,交易,428.2835820895522,428.2835820895522,497.94389266422723,1.0,1.0,1.0
