trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2021-03-31,688659.SH,21.0,21.98,16.6,16.95,26620140.999999996,160.769,18.401,1.0,73.14,73.14,0,交易,0.2317473338802297,0.28712059064807216,1603622.9518072286,0.8371701546860782,0.7552320291173795,1.0856047197640117
2021-04-01,688659.SH,15.2,15.8,14.01,14.18,19446581.0,-16.342,14.624,1.0,53.43,53.43,0,交易,0.2653939734231705,0.28448437207561295,1388050.0356887938,0.9255696202531646,0.8867088607594936,1.0313117066290551
2021-04-02,688659.SH,13.82,16.18,13.69,15.09,16575044.0,6.417,14.726,1.0,45.541,45.541,0,交易,0.33134977273226324,0.3034628137282888,1210740.9788166545,0.9101359703337454,0.84610630407911,0.9758780649436714
2021-04-06,688659.SH,15.0,16.01,14.26,15.6,13022162.0,3.38,14.875,1.0,35.779,35.779,0,交易,0.4360099499706531,0.4192403365102434,913195.0911640953,0.9291068082448469,0.8906933166770767,0.9535256410256411
2021-04-07,688659.SH,15.1,16.81,15.06,15.93,12627101.0,2.115,15.813,1.0,34.694,34.694,0,交易,0.4591572029745777,0.4352337579985011,838452.9216467463,0.9406900654372399,0.8958953004164188,0.9926553672316385
2021-04-08,688659.SH,15.99,16.43,14.68,14.78,11634837.0,-7.219,15.438,1.0,31.967,31.967,0,交易,0.46235180029405326,0.500203334688898,792563.8283378747,0.939622641509434,0.8934875228241023,1.0445196211096077
2021-04-09,688659.SH,14.5,15.14,14.24,14.83,6993903.0,0.338,14.804,1.0,19.216,19.216,0,交易,0.7717527060782681,0.7545795170691091,491144.8735955056,0.9778071334214002,0.940554821664465,0.9982467970330412
2021-04-12,688659.SH,14.58,14.91,14.1,14.19,5773119.0,-4.316,14.485,1.0,15.862,15.862,0,交易,0.8945908460471567,0.9191779094691716,409441.06382978725,0.9714956405097249,0.9456740442655935,1.0207892882311487
2021-04-13,688659.SH,14.18,14.33,13.46,13.52,5673634.0,-4.722,13.818,1.0,15.589,15.589,0,交易,0.867278208993521,0.909615754698826,421518.1277860327,0.9642707606420098,0.939288206559665,1.0220414201183432
2021-04-14,688659.SH,13.6,13.85,13.6,13.68,2855885.0,1.183,13.734,1.0,7.847,7.847,0,交易,1.7433414043583533,1.7331464253854976,209991.54411764708,0.9916245487364621,0.9819494584837545,1.0039473684210527
2021-04-15,688659.SH,13.68,13.68,13.31,13.31,3185648.0,-2.705,13.413,1.0,8.753,8.753,0,交易,1.5206215011995887,1.5628927224951445,239342.44928625092,0.9804824561403509,0.972953216374269,1.0077385424492862
2021-04-16,688659.SH,13.4,14.18,13.34,13.99,5170590.0,5.109,13.863,1.0,14.206,14.206,0,交易,0.9847951569759257,0.9432634098268338,387600.44977511244,0.9776445698166432,0.9407616361071932,0.9909220872051465
2021-04-19,688659.SH,14.0,15.1,13.92,14.73,8729506.0,5.289,14.566,1.0,23.985,23.985,0,交易,0.6141338336460288,0.5836981446737545,627119.683908046,0.964635761589404,0.9218543046357616,0.9888662593346911
2021-04-20,688659.SH,14.66,16.12,14.52,14.58,9266662.0,-1.018,15.179,1.0,25.461,25.461,0,交易,0.5726405090137858,0.5757825694198971,638199.8622589532,0.9416253101736972,0.9007444168734491,1.0410836762688616
2021-04-21,688659.SH,14.18,14.67,13.91,14.02,6046864.0,-3.841,14.132,1.0,16.614,16.614,0,交易,0.8438666185145057,0.8534970506801492,434713.44356578,0.9633265167007498,0.9481935923653715,1.0079885877318118
2021-04-22,688659.SH,14.0,14.16,13.76,14.0,3878207.0,-0.143,13.968,1.0,10.656,10.656,0,交易,1.3138138138138138,1.3138138138138138,281846.43895348837,0.9864406779661017,0.9717514124293785,0.9977142857142857
2021-04-23,688659.SH,14.02,14.58,13.9,14.13,4097592.0,0.929,14.209,1.0,11.258,11.258,0,交易,1.255107479125955,1.2453366494936935,294790.7913669065,0.974554183813443,0.953360768175583,1.005590941259731
2021-04-26,688659.SH,14.14,14.28,13.76,13.86,3443105.0000000005,-1.911,13.986,1.0,9.46,9.46,0,交易,1.4651162790697672,1.4947145877378434,250225.65406976748,0.9794117647058824,0.9635854341736695,1.0090909090909093
2021-04-27,688659.SH,13.82,13.85,13.01,13.15,4438117.0,-5.123,13.285,1.0,12.194,12.194,0,交易,1.078399212727571,1.1333442676726257,341131.20676402765,0.9592057761732853,0.9393501805054152,1.0102661596958176
2021-04-28,688659.SH,13.15,13.5,13.15,13.4,2632023.0,1.901,13.303,1.0,7.232,7.232,0,交易,1.8528761061946903,1.8183075221238938,200153.8403041825,0.9854074074074075,0.9740740740740741,0.9927611940298507
2021-04-29,688659.SH,13.71,13.72,13.14,13.2,2540125.0,-1.493,13.301,1.0,6.979,6.979,0,交易,1.891388451067488,1.9644648230405504,193312.40487062404,0.9694606413994169,0.9577259475218659,1.0076515151515153
2021-04-30,688659.SH,13.15,13.23,12.45,12.54,3109618.0,-5.0,12.748,1.0,8.544,8.544,0,交易,1.467696629213483,1.5390917602996255,249768.5140562249,0.963567649281935,0.9410430839002266,1.0165869218500798
