trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2011-01-31,601933.SH,27.7,27.96,27.27,27.91,4136706.0,1.05,27.572,1.0,4.701,4.701,0,交易,5.93703467347373,5.892363326951712,151694.3894389439,0.9861230329041487,0.9753218884120172,0.987889645288427
2011-02-01,601933.SH,28.29,28.73,28.2,28.34,4620188.0,1.541,28.423,1.0,5.25,5.25,0,交易,5.398095238095238,5.388571428571429,163836.45390070922,0.9893143056038983,0.9815523842673164,1.0029287226534933
2011-02-09,601933.SH,28.0,28.17,27.5,27.58,3793262.0000000005,-2.682,27.819,1.0,4.311,4.311,0,交易,6.397587566689863,6.495012758060775,137936.80000000002,0.9875399361022363,0.9762158324458643,1.008665699782451
2011-02-10,601933.SH,27.44,28.88,27.15,28.79,5924699.0,4.387,28.088,1.0,6.733,6.733,0,交易,4.275954255161147,4.0754492796673105,218220.9576427256,0.9725761772853186,0.9400969529085872,0.9756165335185829
2011-02-11,601933.SH,28.41,28.96,28.41,28.77,5960526.0,-0.069,28.729,1.0,6.773,6.773,0,交易,4.247748412815591,4.194596190757419,209803.8014783527,0.9920234806629834,0.9810082872928176,0.9985749044143205
2011-02-14,601933.SH,28.78,29.5,28.5,29.18,5275200.0,1.425,29.053,1.0,5.995,5.995,0,交易,4.867389491242702,4.800667222685571,185094.73684210525,0.9848474576271187,0.9661016949152542,0.9956477039067855
2011-02-15,601933.SH,29.05,29.58,28.61,28.65,5392283.0,-1.816,29.006,1.0,6.128,6.128,0,交易,4.675261096605744,4.740535248041775,188475.46312478156,0.9805949966193375,0.9672075726842462,1.0124258289703316
2011-02-16,601933.SH,28.59,29.15,28.51,29.05,3054163.0,1.396,28.874,1.0,3.471,3.471,0,交易,8.369346009795448,8.236819360414867,107126.02595580497,0.9905317324185249,0.9780445969125215,0.9939414802065404
2011-02-17,601933.SH,29.14,29.18,28.58,28.91,3608306.0,-0.482,28.771,1.0,4.1,4.1,0,交易,7.051219512195122,7.107317073170733,126252.83414975509,0.9859835503769706,0.9794379712131597,0.9951919750951228
2011-02-18,601933.SH,28.8,29.35,28.6,29.0,3325529.0,0.311,29.049,1.0,3.779,3.779,0,交易,7.673987827467585,7.62106377348505,116277.23776223775,0.9897444633730834,0.9744463373083475,1.0016896551724137
2011-02-21,601933.SH,29.0,30.06,28.81,29.93,5259957.0,3.207,29.69,1.0,5.977,5.977,0,交易,5.007528860632424,4.851932407562322,182574.0020826102,0.9876912840984698,0.958416500332668,0.9919812896759105
2011-02-22,601933.SH,29.79,29.86,27.93,28.17,5537673.0,-5.88,28.935,1.0,6.293,6.293,0,交易,4.476402351819482,4.733831241061496,198269.70998925887,0.9690221031480241,0.9353650368385801,1.0271565495207666
2011-02-23,601933.SH,28.13,28.5,28.05,28.4,3357391.0000000005,0.816,28.251,1.0,3.815,3.815,0,交易,7.444298820445609,7.373525557011796,119693.08377896615,0.9912631578947368,0.9842105263157895,0.9947535211267606
2011-02-24,601933.SH,28.43,28.69,28.01,28.44,2318308.0,0.141,28.368,1.0,2.634,2.634,0,交易,10.79726651480638,10.793470007593015,82767.15458764727,0.9887765772046008,0.9762983617985361,0.9974683544303796
2011-02-25,601933.SH,28.46,28.46,27.99,28.29,2081225.0,-0.527,28.184,1.0,2.365,2.365,0,交易,11.961945031712473,12.0338266384778,74356.02000714542,0.9903021784961349,0.9834855938158819,0.9962530929657123
2011-02-28,601933.SH,28.31,29.19,28.05,29.09,3964362.0000000005,2.828,28.689,1.0,4.505,4.505,0,交易,6.457269700332963,6.2841287458379576,141331.9786096257,0.982836587872559,0.960945529290853,0.9862151942248195
2011-03-01,601933.SH,29.15,29.17,28.69,29.08,4054026.0,-0.034,28.959,1.0,4.607,4.607,0,交易,6.3121337095723895,6.327327979162144,141304.49634018823,0.9927665409667465,0.9835447377442578,0.9958390646492435
2011-03-02,601933.SH,29.0,29.8,28.83,29.59,4331596.0,1.754,29.39,1.0,4.922,4.922,0,交易,6.011783827712312,5.891913856156035,150246.13250086716,0.986241610738255,0.9674496644295302,0.9932409597837107
