trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2011-03-23,600991.SH,28.194,28.194,26.37,27.235,46487180.0,2.985,27.073,1.88,8.925,25.92,0.0,交易,1.050733024691358,3.1589915966386553,1762881.3045127038,0.9602397673263815,0.9353053841242819,0.9940517716174041
2011-03-24,600991.SH,27.855,29.96,27.536,29.96,34985434.0,10.007,29.094,1.88,6.717,19.507,0.0,交易,1.5358589224380992,4.146940598481465,1270534.3550261476,0.9710947930574099,0.9190921228304406,0.9710947930574099
2011-03-25,600991.SH,30.054,30.43,29.453,30.054,26622778.999999996,0.314,29.973,1.88,5.111,14.844,0.0,交易,2.024656426839127,5.880258266484054,903907.2080942518,0.9849819257311863,0.967893526125534,0.9973048512677182
2011-03-28,600991.SH,30.261,30.524,29.096,29.209,17293757.0,-2.814,29.7,1.88,3.32,9.642,0.0,交易,3.029350757104335,9.114759036144578,594368.8823205939,0.9730048486436902,0.953217140610667,1.0168098873634839
2011-03-29,600991.SH,29.133,29.415,28.043,28.476,20018187.0,-2.51,28.607,1.88,3.843,11.161,0.0,交易,2.551384284562315,7.5807962529274,713838.9972542168,0.9725310215876254,0.9533571307156213,1.0046003652198343
2011-03-30,600991.SH,28.626,28.945,28.231,28.682,7835517.0,0.726,28.483,1.88,1.504,4.369,0.0,交易,6.564888990615701,19.033244680851066,277550.1044950586,0.9840386940749698,0.9753325272067715,0.9930618506380309
2011-03-31,600991.SH,28.757,29.359,28.588,28.945,7389208.0,0.917,28.991,1.88,1.419,4.12,0.0,交易,7.025485436893204,20.265680056377732,258472.36602770392,0.9874655131305562,0.9737388875642903,1.0015892209362585
2011-04-01,600991.SH,28.983,29.115,28.701,28.964,6309069.0,0.065,28.899,1.88,1.211,3.518,0.0,交易,8.23308698123934,23.93311312964492,219820.528901432,0.9925811437403401,0.9857805255023184,0.9977558348294435
2011-04-06,600991.SH,29.096,29.453,28.776,28.945,8547466.0,-0.065,29.095,1.88,1.641,4.766,0.0,交易,6.073227024758707,17.730652041438148,297034.54267445096,0.9878450412521644,0.9770142260550708,1.0051822421834513
2011-04-07,600991.SH,28.964,29.058,28.588,28.983,6891792.0,0.13,28.815,1.88,1.323,3.843,0.0,交易,7.54176424668228,21.892668178382465,241072.8977193228,0.9916374148255214,0.9838254525431895,0.9942034986026291
2011-04-08,600991.SH,28.945,29.584,28.851,29.434,7664469.0,1.556,29.25,1.88,1.471,4.273,0.0,交易,6.888368827521648,19.67709041468389,265656.9616304461,0.9887101135749053,0.9752230935640886,0.9937487259631718
2011-04-11,600991.SH,29.434,29.754,29.058,29.697,8679501.0,0.894,29.354,1.88,1.666,4.839,0.0,交易,6.137011779293242,17.667466986794718,298695.74643815815,0.9865564293876453,0.9766081871345029,0.9884500117857022
2011-04-12,600991.SH,29.584,30.599,29.453,30.073,9980129.0,1.266,30.098,1.88,1.916,5.565,0.0,交易,5.403953279424977,15.440501043841337,338849.31925440533,0.9836269159122847,0.9625477956795974,1.0008313104778372
2011-04-13,600991.SH,29.885,30.374,29.754,30.148,7369372.0,0.25,30.143,1.88,1.415,4.109,0.0,交易,7.337064979313702,21.120141342756185,247676.68212677285,0.9923948113518141,0.9795878053598474,0.9998341515191721
2011-04-14,600991.SH,30.092,30.224,29.866,30.054,3825607.0,-0.312,30.035,1.88,0.734,2.133,0.0,交易,14.090014064697609,40.997275204359674,128092.37929418068,0.9937466913710958,0.988155108523028,0.9993678046183537
2011-04-15,600991.SH,29.998,30.017,29.528,29.772,5287738.0,-0.938,29.744,1.88,1.015,2.948,0.0,交易,10.099050203527815,29.55467980295567,179075.38607423464,0.9909051537462105,0.9837092314355198,0.9990595190111514
