trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2011-01-31,600826.SH,51.289,51.825,50.604,51.378,885904.9999999999,0.0,51.259,2.98,0.316,0.661,0,交易,77.72768532526474,162.30696202531647,17506.62003003715,0.9890786300048239,0.9764399421128798,0.9976838335474327
2011-02-01,600826.SH,51.706,51.706,50.335,51.617,888925.0,0.464,50.984,2.98,0.317,0.663,0,交易,77.85369532428355,163.11041009463725,17660.17681533724,0.9860364367771631,0.9734847019688236,0.9877365984075015
2011-02-09,600826.SH,50.604,51.408,50.008,50.037,900582.0,-3.06,50.673,2.98,0.321,0.671,0,交易,74.57078986587183,157.6448598130841,18008.75859862422,0.985702614379085,0.9727668845315904,1.0127105941603214
2011-02-10,600826.SH,50.633,52.094,50.127,51.974,995620.9999999999,3.871,51.139,2.98,0.355,0.742,0,交易,70.04582210242587,142.62816901408453,19861.970594689486,0.9816677544438899,0.9622413329750067,0.9839342748297226
2011-02-11,600826.SH,51.587,52.63,51.587,52.392,1186320.0,0.803,52.163,2.98,0.423,0.885,0,交易,59.2,121.95508274231679,22996.491364103356,0.991126733802014,0.9801824054721642,0.995629103679951
2011-02-14,600826.SH,52.451,54.21,52.153,53.643,2584785.0,2.389,53.315,2.98,0.922,1.927,0,交易,27.83757135443695,56.888286334056396,49561.57843268844,0.9834901309721453,0.9620549714074893,0.9938855023022575
2011-02-15,600826.SH,53.733,54.299,53.077,53.256,1719022.0,-0.722,53.69,2.98,0.613,1.282,0,交易,41.541341653666144,87.65579119086459,32387.32407634192,0.9887843238365347,0.9774949814913718,1.008149316508938
2011-02-16,600826.SH,53.316,54.478,52.928,54.18,1333638.0,1.735,54.031,2.98,0.476,0.994,0,交易,54.50704225352113,112.00840336134455,25197.211305925033,0.9917948529681706,0.9715481478762068,0.997249907715024
2011-02-17,600826.SH,54.18,54.776,53.286,53.941,1876209.0,-0.44,53.819,2.98,0.669,1.399,0,交易,38.55682630450322,80.98654708520179,35210.16777389933,0.9825288447495253,0.9727983058273696,0.9977382695908492
2011-02-18,600826.SH,54.359,54.388,53.196,53.941,1303178.0,0.0,53.851,2.98,0.465,0.972,0,交易,55.494855967078195,116.90107526881721,24497.668997669,0.9901264984923145,0.9780834007501654,0.9983315103539051
2011-02-21,600826.SH,53.733,55.938,53.733,55.64,2123504.0,3.149,55.121,2.98,0.757,1.583,0,交易,35.14845230574858,70.98150594451783,39519.550369419165,0.9853945439593836,0.9605813579319961,0.9906721782890008
2011-02-22,600826.SH,55.64,56.117,53.047,53.196,1916081.0000000002,-4.392,54.161,2.98,0.683,1.429,0,交易,37.22603219034289,81.4641288433382,36120.44036420534,0.9651442521873943,0.945292870253221,1.0181404616888488
2011-02-23,600826.SH,52.898,53.763,52.809,53.524,1091214.0,0.616,53.288,2.98,0.389,0.814,0,交易,65.75429975429977,135.9845758354756,20663.409646083055,0.9911649275524059,0.9822554544947268,0.9955907630221956
2011-02-24,600826.SH,53.345,56.922,52.749,55.461,3521140.0,3.619,54.988,2.98,1.256,2.625,0,交易,21.128,42.472133757961785,66752.73464899808,0.96602368152911,0.9266891535785813,0.9914714844665621
2011-02-25,600826.SH,54.984,55.461,54.239,55.372,1868457.0,-0.161,54.936,2.98,0.666,1.393,0,交易,39.75017946877243,82.55855855855856,34448.58865392061,0.9905338886785309,0.9779664989812661,0.9921259842519685
2011-02-28,600826.SH,55.074,55.372,53.643,55.223,1257920.0,-0.269,54.885,2.98,0.449,0.938,0,交易,58.87313432835821,122.65924276169264,23449.844341293367,0.9912049411254785,0.968774832045077,0.9938793618600945
2011-03-01,600826.SH,55.223,57.071,55.223,56.266,3068886.0,1.889,56.431,2.98,1.094,2.288,0,交易,24.591783216783217,50.4780621572212,55572.60561722471,0.9887858982670709,0.967619281246167,1.0029324992002275
2011-03-02,600826.SH,55.879,60.736,55.7,58.442,5529532.0,3.867,58.71,2.98,1.972,4.123,0,交易,14.174630123696337,28.336206896551722,99273.46499102333,0.9666425184404637,0.9170837723919917,1.0045857431299408
2011-03-03,600826.SH,58.71,58.799,56.922,57.309,2856401.0,-1.938,57.501,2.98,1.019,2.13,0,交易,26.9056338028169,57.61530912659471,50180.96693721233,0.9779247946393645,0.9680776883960611,1.003350259121604
2011-03-04,600826.SH,57.756,58.114,56.057,57.816,1995729.0,0.884,57.353,2.98,0.712,1.488,0,交易,38.85483870967742,81.1179775280899,35601.780330734786,0.9869050486973879,0.964604054100561,0.9919918361699184
2011-03-07,600826.SH,59.246,60.647,57.518,57.905,4397664.0,0.155,58.596,2.98,1.568,3.279,0,交易,17.65934736200061,37.7844387755102,76457.1786223443,0.966181344501789,0.9484063515095553,1.0119333390898886
2011-03-08,600826.SH,57.667,58.829,56.773,58.71,1789409.9999999998,1.39,57.899,2.98,0.638,1.334,0,交易,44.010494752623686,90.3871473354232,31518.679654060903,0.984191470193272,0.9650512502337283,0.9861863396354965
2011-03-09,600826.SH,58.292,59.485,57.994,58.74,1985473.0,0.051,58.83,2.98,0.708,1.48,0,交易,39.68918918918919,82.33333333333334,34235.83474152499,0.9889888207111036,0.9749348575271077,1.001532175689479
2011-03-10,600826.SH,58.591,59.306,57.994,58.501,2445038.0,-0.406,58.583,2.98,0.872,1.823,0,交易,32.09051014810751,67.19151376146789,42160.18898506742,0.987808990658618,0.9778774491619735,1.0014016854412746
2011-03-11,600826.SH,58.322,58.978,57.1,57.816,2375310.0,-1.172,58.064,2.98,0.847,1.771,0,交易,32.64596273291926,68.85714285714286,41599.12434325744,0.9845026959205128,0.9681576180948829,1.0042894700428946
2011-03-14,600826.SH,57.756,63.597,57.756,63.597,12764525.0,10.0,62.506,2.98,4.552,9.517,0,交易,6.682462961017127,12.68804920913884,221007.77408407786,0.9828451027564193,0.9081560450964667,0.9828451027564193
2011-03-15,600826.SH,65.505,65.862,61.988,63.567,13876660.999999998,-0.047,64.182,2.98,4.948,10.347,0,交易,6.143519860829226,13.23868229587712,223860.44073046395,0.9744921198870367,0.9411800431204641,1.0096748312803814
2011-03-16,600826.SH,62.912,63.687,61.63,63.21,6211987.0,-0.563,62.448,2.98,2.215,4.632,0,交易,13.64637305699482,28.40270880361174,100794.85640110336,0.9805454802392953,0.9677014147314209,0.9879449454200284
2011-03-17,600826.SH,62.733,62.733,60.2,60.826,4936609.0,-3.772,61.317,2.98,1.76,3.681,0,交易,16.524314045096443,35.64375,82003.47176079734,0.9774281478647602,0.9596225272185294,1.0080722059645546
2011-03-18,600826.SH,60.826,62.435,60.557,61.332,2911233.0,0.833,61.651,2.98,1.038,2.171,0,交易,28.250575771533857,58.59922928709056,48074.260613967,0.9874429406582846,0.9699207175462481,1.0052012000260875
2011-03-21,600826.SH,61.124,62.197,60.14,60.975,2147372.0,-0.583,61.265,2.98,0.766,1.601,0,交易,38.08557151780138,79.79634464751959,35706.21882274692,0.9850153544383169,0.9669276653214784,1.0047560475604755
2011-03-22,600826.SH,61.153,61.332,59.246,60.021,2920086.0,-1.564,59.906,2.98,1.041,2.177,0,交易,27.570509875976114,58.74447646493756,49287.47932349863,0.9767494945542294,0.9659883910519794,0.9980840039319571
2011-03-23,600826.SH,59.723,60.855,59.574,60.736,2021598.0,1.192,60.36,2.98,0.721,1.507,0,交易,40.30258792302588,82.83356449375867,33934.23305468829,0.9918659107715061,0.9789499630268672,0.993809272918862
2011-03-24,600826.SH,60.796,63.716,60.498,62.107,5594533.0,2.257,62.235,2.98,1.995,4.171,0,交易,14.890194198034044,30.474185463659147,92474.67684882146,0.9767562307740598,0.9494946324314143,1.0020609593121548
