trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2011-05-11,300214.SZ,21.71,21.9,20.81,20.9,7525909.0,-5.0,21.061,1.0,26.878,26.878,0,交易,0.7775876181263486,0.8077237889723938,361648.67851994233,0.961689497716895,0.9502283105022831,1.0077033492822967
2011-05-12,300214.SZ,20.51,21.52,20.51,21.0,3821826.0,0.478,21.091,1.0,13.649,13.649,0,交易,1.538574254524141,1.5026741885852446,186339.63920039003,0.9800650557620818,0.9530669144981414,1.0043333333333333
2011-05-13,300214.SZ,21.15,21.49,20.87,21.45,2922720.0,2.143,21.255,1.0,10.438,10.438,0,交易,2.054991377658555,2.0262502395094844,140044.0824149497,0.9890646812470917,0.9711493718008377,0.9909090909090909
2011-05-16,300214.SZ,21.45,22.05,21.21,21.69,3327549.0,1.119,21.73,1.0,11.884,11.884,0,交易,1.82514304947829,1.8049478290138,156885.85572842997,0.9854875283446712,0.9619047619047619,1.0018441678192715
2011-05-17,300214.SZ,21.41,21.69,21.0,21.34,2168192.0,-1.614,21.336,1.0,7.744,7.744,0,交易,2.7556818181818183,2.7647210743801653,103247.23809523809,0.9836791147994466,0.9681881051175656,0.9998125585754452
2011-05-18,300214.SZ,21.28,21.48,20.93,21.15,1428842.0,-0.89,21.116,1.0,5.103,5.103,0,交易,4.144620811287478,4.170096021947875,68267.65408504539,0.9830540037243948,0.9743947858472998,0.9983924349881798
2011-05-19,300214.SZ,21.21,21.5,21.05,21.09,880659.0,-0.284,21.224,1.0,3.145,3.145,0,交易,6.705882352941177,6.744038155802862,41836.53206650831,0.9871627906976744,0.9790697674418605,1.0063537221431957
2011-05-20,300214.SZ,21.1,21.12,20.8,21.08,1395024.0,-0.047,20.922,1.0,4.982,4.982,0,交易,4.23123243677238,4.235246888799679,67068.46153846153,0.990625,0.9848484848484849,0.9925047438330172
2011-05-23,300214.SZ,21.0,21.44,20.87,21.01,1572709.0,-0.332,21.146,1.0,5.617,5.617,0,交易,3.7404308349652844,3.7386505251913835,75357.40297077144,0.9862873134328358,0.9734141791044776,1.0064731080437885
2011-05-24,300214.SZ,20.91,21.05,20.13,20.73,1659549.0000000002,-1.333,20.536,1.0,5.927,5.927,0,交易,3.497553568415725,3.52792306394466,82441.57973174368,0.975581947743468,0.9562945368171021,0.9906415822479498
2011-05-25,300214.SZ,20.77,20.88,19.41,19.65,1666699.0000000002,-5.21,20.173,1.0,5.952,5.952,0,交易,3.3014112903225805,3.4895833333333335,85868.05770221536,0.966139846743295,0.9295977011494253,1.026615776081425
2011-05-26,300214.SZ,19.69,19.92,19.55,19.62,959878.0000000001,-0.153,19.725,1.0,3.428,3.428,0,交易,5.7234539089848315,5.7438739789965,49098.61892583121,0.990210843373494,0.981425702811245,1.0053516819571866
2011-05-27,300214.SZ,19.49,19.66,19.11,19.35,678431.0,-1.376,19.349,1.0,2.423,2.423,0,交易,7.985967808501858,8.043747420553032,35501.360544217685,0.9841810783316378,0.9720244150559512,0.9999483204134366
2011-05-30,300214.SZ,19.19,19.64,19.19,19.37,387884.0,0.103,19.478,1.0,1.385,1.385,0,交易,13.985559566787003,13.855595667870038,20212.819176654506,0.9917515274949084,0.9770875763747454,1.0055756324212701
2011-05-31,300214.SZ,19.52,19.59,19.18,19.48,398555.0,0.568,19.371,1.0,1.423,1.423,0,交易,13.689388615600842,13.717498243148277,20779.718456725757,0.9888208269525267,0.9790709545686574,0.9944045174537987
2011-06-01,300214.SZ,19.42,19.68,19.36,19.6,426067.0,0.616,19.512,1.0,1.522,1.522,0,交易,12.87779237844941,12.75952693823916,22007.59297520661,0.9914634146341463,0.983739837398374,0.9955102040816326
2011-06-02,300214.SZ,19.41,19.42,18.9,19.29,586203.0,-1.582,19.18,1.0,2.094,2.094,0,交易,9.212034383954155,9.269340974212035,31016.03174603175,0.9876416065911431,0.9732234809474767,0.9942975635044065
2011-06-03,300214.SZ,19.17,19.56,19.06,19.5,376960.0,1.089,19.365,1.0,1.346,1.346,0,交易,14.487369985141157,14.24219910846954,19777.544596012594,0.9900306748466258,0.9744376278118609,0.993076923076923
2011-06-07,300214.SZ,19.48,19.55,19.1,19.26,306452.0,-1.231,19.34,1.0,1.094,1.094,0,交易,17.60511882998172,17.80621572212066,16044.607329842931,0.9892583120204603,0.9769820971867008,1.004153686396677
2011-06-08,300214.SZ,19.33,19.68,19.18,19.68,610273.0,2.181,19.471,1.0,2.18,2.18,0,交易,9.027522935779816,8.866972477064218,31818.196037539103,0.989380081300813,0.9745934959349594,0.989380081300813
2011-06-09,300214.SZ,19.68,20.15,19.3,19.3,686072.0,-1.931,19.743,1.0,2.45,2.45,0,交易,7.877551020408163,8.032653061224488,35547.77202072539,0.9798014888337468,0.957816377171216,1.0229533678756475
