trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2011-01-31,300136.SZ,54.89,56.8,54.3,54.89,330914.0,-0.903,55.191,1.0,2.481,2.481,0,交易,22.124143490528013,22.124143490528013,6094.180478821363,0.9716725352112677,0.9559859154929577,1.0054836946620513
2011-02-01,300136.SZ,55.4,55.48,51.8,53.99,570399.0,-1.64,52.892,1.0,4.277,4.277,0,交易,12.623334112695815,12.953004442366144,11011.563706563707,0.9533525594808941,0.9336697909156453,0.9796629005371366
2011-02-09,300136.SZ,52.88,53.83,52.0,52.5,1608027.0,-2.76,52.854,1.0,9.646,9.646,0,交易,5.44267053701016,5.482065104706614,30923.596153846152,0.9818688463681962,0.9660040869403679,1.0067428571428572
2011-02-10,300136.SZ,51.99,56.49,51.7,56.35,883310.0,7.333,53.834,1.0,5.299,5.299,0,交易,10.634081902245706,9.811285148141158,17085.2998065764,0.9529828288192601,0.9152062311913614,0.9553504880212955
2011-02-11,300136.SZ,56.0,59.16,55.8,58.8,801778.0,4.348,58.289,1.0,4.81,4.81,0,交易,12.224532224532226,11.642411642411643,14368.781362007168,0.9852772143340095,0.9432048681541583,0.9913095238095239
2011-02-14,300136.SZ,58.8,60.2,57.68,58.0,627841.0,-1.361,58.837,1.0,3.766,3.766,0,交易,15.400955921402018,15.613382899628252,10884.89944521498,0.9773588039867109,0.9581395348837208,1.0144310344827587
2011-02-15,300136.SZ,58.0,58.58,57.5,58.37,450747.0,0.638,58.12,1.0,2.704,2.704,0,交易,21.58653846153846,21.449704142011832,7839.078260869565,0.9921474906111301,0.9815636736087402,0.995716977899606
2011-02-16,300136.SZ,59.0,63.59,58.8,63.13,710389.0,8.155,61.169,1.0,4.261,4.261,0,交易,14.815770945787374,13.846514902605023,12081.445578231293,0.9619279760968705,0.9246736908318917,0.9689371138919689
2011-02-17,300136.SZ,62.54,63.48,61.03,62.03,421693.0,-1.742,62.21,1.0,2.53,2.53,0,交易,24.517786561264824,24.71936758893281,6909.601835163035,0.9799936988027725,0.9614051669817266,1.0029018216991779
2011-02-18,300136.SZ,62.01,62.35,60.6,62.11,519153.0,0.129,61.082,1.0,3.114,3.114,0,交易,19.945407835581246,19.91329479768786,8566.881188118812,0.979663191659984,0.9719326383319968,0.9834487200128804
2011-02-21,300136.SZ,61.36,64.5,61.36,63.31,646193.0,1.932,63.233,1.0,3.876,3.876,0,交易,16.333849329205368,15.830753353973169,10531.17666232073,0.9803565891472867,0.9513178294573643,0.9987837624387932
2011-02-22,300136.SZ,63.4,63.4,59.88,60.5,571252.0,-4.438,60.889,1.0,3.427,3.427,0,交易,17.6539247154946,18.50014590020426,9539.946559786238,0.9603943217665616,0.9444794952681389,1.0064297520661158
2011-02-23,300136.SZ,60.5,61.78,59.17,60.0,838866.0,-0.826,60.365,1.0,5.032,5.032,0,交易,11.92368839427663,12.023052464228934,14177.218184890991,0.9770961476205892,0.9577533182259631,1.0060833333333334
2011-02-24,300136.SZ,60.0,61.27,59.0,60.3,355238.0,0.5,59.796,1.0,2.131,2.131,0,交易,28.296574378226186,28.155795401220086,6020.983050847458,0.9759425493716337,0.9629508731842663,0.9916417910447761
2011-02-25,300136.SZ,60.04,60.5,58.59,59.5,318396.0,-1.327,59.295,1.0,1.91,1.91,0,交易,31.151832460732987,31.43455497382199,5434.306195596518,0.9800826446280992,0.9684297520661158,0.9965546218487396
2011-02-28,300136.SZ,58.8,59.49,56.67,59.48,775126.0,-0.034,57.613,1.0,4.65,4.65,0,交易,12.791397849462363,12.645161290322578,13677.889535909651,0.968448478735922,0.9525970751386788,0.9686112979152657
2011-03-01,300136.SZ,59.25,59.25,57.81,58.3,249938.0,-1.984,58.405,1.0,1.499,1.499,0,交易,38.89259506337558,39.5263509006004,4323.438851409791,0.9857383966244726,0.9756962025316456,1.0018010291595199
2011-03-02,300136.SZ,58.0,58.59,56.67,57.6,286567.0,-1.201,57.393,1.0,1.719,1.719,0,交易,33.50785340314136,33.740546829552066,5056.767248985354,0.9795698924731182,0.9672299027137736,0.9964062499999999
2011-03-03,300136.SZ,57.13,57.93,54.6,56.0,634135.0,-2.778,55.579,1.0,3.804,3.804,0,交易,14.721345951629864,15.018401682439539,11614.194139194138,0.959416537200069,0.9425168306576903,0.9924821428571429
2011-03-04,300136.SZ,55.68,56.0,52.05,55.65,906039.0,-0.625,53.756,1.0,5.435,5.435,0,交易,10.239190432382705,10.244710211591537,17407.089337175792,0.9599285714285715,0.9294642857142856,0.9659658580413297
2011-03-07,300136.SZ,55.23,57.43,54.56,56.8,844179.0000000001,2.066,55.257,1.0,5.064,5.064,0,交易,11.216429699842022,10.906398104265403,15472.489002932552,0.9621626327703291,0.9500261187532649,0.9728345070422535
2011-03-08,300136.SZ,56.9,58.0,56.02,57.6,494814.00000000006,1.408,57.404,1.0,2.968,2.968,0,交易,19.40700808625337,19.171159029649594,8832.809710817566,0.9897241379310345,0.9658620689655173,0.9965972222222222
2011-03-09,300136.SZ,57.51,57.93,57.0,57.1,263806.0,-0.868,57.45,1.0,1.583,1.583,0,交易,36.070751737207836,36.32975363234365,4628.175438596491,0.9917141377524599,0.983946141895391,1.0061295971978985
