trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2016-02-18,002788.SZ,22.38,26.86,22.38,26.86,17379.0,44.021,26.732,1.0,0.054,0.054,0,盘中停牌,497.4074074074074,414.44444444444446,776.5415549597856,0.995234549516009,0.8332092330603127,0.995234549516009
2016-02-19,002788.SZ,29.55,29.55,29.55,29.55,13619.0,10.015,29.55,1.0,0.042,0.042,0,交易,703.5714285714286,703.5714285714286,460.8798646362098,1.0,1.0,1.0
2016-02-22,002788.SZ,32.51,32.51,32.51,32.51,4618.0,10.017,32.51,1.0,0.014,0.014,0,交易,2322.142857142857,2322.142857142857,142.04860043063672,1.0,1.0,1.0
2016-02-23,002788.SZ,35.76,35.76,35.76,35.76,15553.0,9.997,35.76,1.0,0.049,0.049,0,交易,729.7959183673469,729.7959183673469,434.927293064877,1.0,1.0,1.0
2016-02-24,002788.SZ,39.34,39.34,39.34,39.34,14313.0,10.011,39.34,1.0,0.045,0.045,0,交易,874.2222222222223,874.2222222222223,363.8281647178444,1.0,1.0,1.0
2016-02-25,002788.SZ,43.27,43.27,43.27,43.27,85057.0,9.99,43.27,1.0,0.265,0.265,0,交易,163.28301886792454,163.28301886792454,1965.726831522995,1.0,1.0,1.0
2016-02-26,002788.SZ,47.6,47.6,47.6,47.6,50950.0,10.007,47.6,1.0,0.159,0.159,0,交易,299.37106918238993,299.37106918238993,1070.3781512605042,1.0,1.0,1.0
2016-02-29,002788.SZ,52.36,52.36,52.36,52.36,585760.0,10.0,52.36,1.0,1.828,1.828,0,交易,28.643326039387308,28.643326039387308,11187.16577540107,1.0,1.0,1.0
2016-03-01,002788.SZ,57.6,57.6,48.33,53.4,19988518.0,1.986,51.66,1.0,62.367,62.367,0,交易,0.8562220405021886,0.9235653470585407,413584.0678667494,0.8968749999999999,0.8390624999999999,0.9674157303370786
2016-03-02,002788.SZ,51.35,58.74,49.3,58.74,17443790.0,10.0,54.23,1.0,54.427,54.427,0,交易,1.0792437576937917,0.9434655593731053,353829.4117647059,0.9232209737827715,0.8392917943479741,0.9232209737827715
2016-03-03,002788.SZ,58.0,62.8,54.52,54.52,19379770.0,-7.184,58.995,1.0,60.467,60.467,0,交易,0.9016488332478874,0.9592008864339227,355461.6654438738,0.9394108280254777,0.8681528662420384,1.0820799706529713
2016-03-04,002788.SZ,51.05,53.88,49.3,49.55,12326193.0,-9.116,51.07,1.0,38.459,38.459,0,交易,1.2883850334122051,1.3273876075821003,250024.19878296147,0.9478470675575352,0.9149962880475129,1.0306760847628658
2016-03-07,002788.SZ,50.7,52.0,48.5,49.26,8319650.999999999,-0.585,50.186,1.0,25.958,25.958,0,交易,1.8976808690962323,1.953155096694661,171539.19587628864,0.9651153846153846,0.9326923076923077,1.0187982135606983
2016-03-08,002788.SZ,47.99,48.28,44.7,48.06,8153332.000000001,-2.436,46.785,1.0,25.439,25.439,0,交易,1.8892252053932939,1.8864735249027085,182401.16331096197,0.9690347970173984,0.9258492129246065,0.9734706616729087
2016-03-09,002788.SZ,46.05,49.48,45.77,47.44,6778002.0,-1.29,47.82,1.0,21.148,21.148,0,交易,2.2432381312653678,2.1775108757329296,148088.31112082148,0.9664510913500405,0.9250202101859338,1.008010118043845
2016-03-10,002788.SZ,47.02,48.79,46.58,47.02,5984856.0,-0.885,47.751,1.0,18.673,18.673,0,交易,2.5180742248165804,2.5180742248165804,128485.53027050236,0.9787046525927444,0.9547038327526132,1.015546575925138
2016-03-11,002788.SZ,46.0,47.66,45.5,46.6,4699545.0,-0.893,46.654,1.0,14.663,14.663,0,交易,3.1780672440837483,3.1371479233444726,103286.7032967033,0.9788921527486363,0.9546789760805707,1.001158798283262
2016-03-14,002788.SZ,47.9,51.26,47.7,49.88,8309782.000000001,7.039,49.687,1.0,25.928,25.928,0,交易,1.9237889540265352,1.847423634680654,174209.26624737948,0.9693133047210301,0.9305501365587203,0.9961307137129108
2016-03-15,002788.SZ,49.01,49.49,47.1,47.61,6075278.0,-4.551,48.434,1.0,18.956,18.956,0,交易,2.511605824013505,2.5854610677358094,128986.7940552017,0.9786623560315214,0.9517074156395231,1.0173072883847931
2016-03-16,002788.SZ,48.3,48.52,45.8,46.16,4941644.0,-3.046,46.998,1.0,15.419,15.419,0,交易,2.9937090602503402,3.1324988650366428,107896.15720524018,0.968631492168178,0.9439406430338004,1.01815424610052
2016-03-17,002788.SZ,46.4,48.46,46.25,48.28,6752723.0,4.593,47.558,1.0,21.069,21.069,0,交易,2.2915183444871614,2.202287721296692,146004.8216216216,0.9813867106892282,0.9543953776310359,0.9850455675227837
2016-03-18,002788.SZ,48.45,50.96,48.08,50.32,8524134.0,4.225,49.669,1.0,26.596,26.596,0,交易,1.892013836667168,1.8217025116558883,177290.64059900166,0.9746664050235478,0.9434850863422292,0.9870627980922098
2016-03-21,002788.SZ,50.7,51.88,49.78,51.41,8348917.0,2.166,50.595,1.0,26.05,26.05,0,交易,1.9735124760076774,1.946257197696737,167716.29168340698,0.975231303006939,0.9595219737856592,0.9841470531025093
2016-03-22,002788.SZ,50.38,50.94,50.06,50.15,4809275.0,-2.451,50.354,1.0,15.006,15.006,0,交易,3.3419965347194456,3.357323737171798,96070.21574111066,0.9884962701217118,0.982724774244209,1.0040677966101694
2016-03-23,002788.SZ,50.16,51.44,49.6,50.51,7825187.0,0.718,50.522,1.0,24.416,24.416,0,交易,2.0687254259501966,2.0543905635648754,157765.86693548388,0.9821539657853811,0.9642301710730949,1.0002375767174816
2016-03-24,002788.SZ,48.35,49.34,47.0,48.23,9508882.0,-4.514,48.39,1.0,29.669,29.669,0,交易,1.6256024807037648,1.6296471064073612,202316.63829787233,0.9807458451560599,0.9525739764896635,1.0033174372797016
2016-03-25,002788.SZ,47.7,47.99,46.57,47.04,6030606.0,-2.467,47.235,1.0,18.816,18.816,0,交易,2.5,2.5350765306122454,129495.512132274,0.9842675557407793,0.9704105021879558,1.0041454081632653
2016-03-28,002788.SZ,47.24,48.25,47.08,47.3,3669722.0,0.553,47.665,1.0,11.45,11.45,0,交易,4.131004366812227,4.125764192139738,77946.5165675446,0.9878756476683938,0.9757512953367875,1.0077167019027484
2016-03-29,002788.SZ,47.01,47.06,44.78,45.04,4304035.0,-4.778,45.778,1.0,13.429,13.429,0,交易,3.353935512696403,3.5006329585226,96115.1183564091,0.9727581810454737,0.9515512112197195,1.016385435168739
2016-03-30,002788.SZ,45.55,46.89,45.5,46.79,3465607.0,3.885,46.255,1.0,10.813,10.813,0,交易,4.327198742254693,4.212521964302228,76167.18681318681,0.9864576668799317,0.9703561526978034,0.9885659328916436
2016-03-31,002788.SZ,47.02,47.94,46.6,47.18,4418813.0,0.834,47.226,1.0,13.787,13.787,0,交易,3.4220642634365706,3.4104591281642125,94824.31330472103,0.9851063829787234,0.9720483938256155,1.000974989402289
2016-04-01,002788.SZ,47.38,47.88,47.03,47.7,3948353.0,1.102,47.471,1.0,12.319,12.319,0,交易,3.872067537949509,3.846091403523013,83953.92302785456,0.9914578111946531,0.9822472848788638,0.9951991614255764
2016-04-05,002788.SZ,47.78,49.14,47.22,48.95,4827208.0,2.621,48.229,1.0,15.061,15.061,0,交易,3.2501161941438155,3.172432109421685,102228.0389665396,0.9814611314611315,0.9609279609279608,0.9852706843718079
